# Single SKU Max Power Table
#   OFDM 6 ~ 54              | |                       HT20 MCS 0 ~ 15                       | |                   HT40 MCS 0 ~ 15                             | |               VHT80 MCS 0 ~ 9             |
ch36 17 17 18 18 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch38 17 17 18 18 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch40 19 19 20 20 18 18 16 16 20 20 20 20 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch42 19 19 20 20 18 18 16 16 20 20 20 20 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch44 17.5 17.5 18.5 18.5 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch46 17.5 17.5 18.5 18.5 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch48 17.5 17.5 18.5 18.5 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 19 19 19 19 18 18 16 16 14.5 14.5
ch52 19 19 19 19 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 13 13 13 13 13 13 13 13 13 13
ch54 19 19 19 19 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 13 13 13 13 13 13 13 13 13 13
ch56 19 19 19 19 18 18 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 18 18 18 18 18 18 16 16 16 16 16 16 16 16 16 16 13 13 13 13 13 13 13 13 13 13
ch58 19 19 19 19 18 18 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 13 13 13 13 13 13 13 13 13 13
ch60 19 19 19 19 18 18 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 13 13 13 13 13 13 13 13 13 13
ch62 19 19 19 19 18 18 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 13 13 13 13 13 13 13 13 13 13
ch64 19 19 19 19 18 18 16 16 19 19 19 19 18 18 16 16 16 16 16 16 16 16 16 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 13 13 13 13 13 13 13 13 13 13
ch100 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 12 12 12 12 12 12 12 12 12 12
ch102 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 12 12 12 12 12 12 12 12 12 12
ch104 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 12 12 12 12 12 12 12 12 12 12
